epoch,mseTestNetwork1,mseTestNetwork2
1,618.083,636.752,
2,585.488,635.659,
3,557.544,634.571,
4,533.63,633.488,
5,513.143,632.41,
6,495.537,631.337,
7,480.346,630.27,
8,467.177,629.209,
9,455.703,628.153,
10,445.657,627.104,
11,436.817,626.06,
12,429.002,625.022,
13,422.06,623.991,
14,415.869,622.965,
15,410.323,621.946,
16,405.337,620.934,
17,400.838,619.927,
18,396.763,618.927,
19,393.061,617.934,
20,389.688,616.947,
21,386.605,615.967,
22,383.78,614.993,
23,381.183,614.026,
24,378.792,613.066,
25,376.584,612.112,
26,374.541,611.165,
27,372.646,610.225,
28,370.886,609.291,
29,369.247,608.365,
30,367.719,607.445,
31,366.291,606.531,
32,364.954,605.625,
33,363.701,604.725,
34,362.525,603.832,
35,361.419,602.945,
36,360.378,602.065,
37,359.396,601.192,
38,358.469,600.326,
39,357.592,599.466,
40,356.763,598.612,
41,355.977,597.766,
42,355.231,596.925,
43,354.523,596.091,
44,353.85,595.264,
45,353.209,594.443,
46,352.598,593.629,
47,352.016,592.82,
48,351.461,592.019,
49,350.93,591.223,
50,350.422,590.434,
51,349.936,589.65,
52,349.471,588.873,
53,349.025,588.102,
54,348.597,587.337,
55,348.187,586.579,
56,347.792,585.826,
57,347.412,585.079,
58,347.047,584.337,
59,346.696,583.602,
60,346.357,582.873,
61,346.031,582.149,
62,345.716,581.431,
63,345.411,580.718,
64,345.118,580.011,
65,344.834,579.31,
66,344.559,578.614,
67,344.294,577.924,
68,344.037,577.238,
69,343.787,576.559,
70,343.546,575.884,
71,343.312,575.215,
72,343.085,574.551,
73,342.864,573.892,
74,342.65,573.238,
75,342.442,572.59,
76,342.24,571.946,
77,342.044,571.307,
78,341.852,570.673,
79,341.666,570.044,
80,341.485,569.42,
81,341.308,568.8,
82,341.136,568.185,
83,340.969,567.575,
84,340.805,566.97,
85,340.645,566.369,
86,340.49,565.772,
87,340.337,565.18,
88,340.189,564.593,
89,340.044,564.009,
90,339.902,563.431,
91,339.763,562.856,
92,339.627,562.286,
93,339.495,561.72,
94,339.365,561.158,
95,339.237,560.6,
96,339.113,560.046,
97,338.991,559.496,
98,338.871,558.951,
99,338.754,558.409,
100,338.639,557.871,
101,338.526,557.337,
102,338.416,556.807,
103,338.307,556.28,
104,338.201,555.758,
105,338.096,555.239,
106,337.993,554.723,
107,337.892,554.212,
108,337.793,553.704,
109,337.696,553.199,
110,337.6,552.698,
111,337.506,552.2,
112,337.413,551.706,
113,337.322,551.216,
114,337.232,550.728,
115,337.144,550.244,
116,337.057,549.764,
117,336.972,549.286,
118,336.888,548.812,
119,336.805,548.341,
120,336.723,547.873,
121,336.643,547.409,
122,336.564,546.947,
123,336.486,546.489,
124,336.409,546.033,
125,336.333,545.581,
126,336.258,545.131,
127,336.184,544.685,
128,336.111,544.241,
129,336.039,543.8,
130,335.968,543.362,
131,335.898,542.927,
132,335.829,542.495,
133,335.761,542.065,
134,335.693,541.638,
135,335.627,541.214,
136,335.561,540.793,
137,335.496,540.374,
138,335.432,539.958,
139,335.369,539.544,
140,335.306,539.133,
141,335.244,538.725,
142,335.183,538.319,
143,335.123,537.916,
144,335.063,537.515,
145,335.004,537.116,
146,334.945,536.72,
147,334.887,536.326,
148,334.83,535.935,
149,334.773,535.546,
150,334.717,535.159,
151,334.662,534.775,
152,334.607,534.393,
153,334.553,534.013,
154,334.499,533.635,
155,334.446,533.26,
156,334.393,532.887,
157,334.341,532.516,
158,334.289,532.147,
159,334.238,531.78,
160,334.187,531.415,
161,334.137,531.053,
162,334.087,530.692,
163,334.038,530.334,
164,333.989,529.977,
165,333.941,529.623,
166,333.893,529.27,
167,333.845,528.92,
168,333.798,528.571,
169,333.752,528.225,
170,333.705,527.88,
171,333.659,527.537,
172,333.614,527.196,
173,333.569,526.857,
174,333.524,526.52,
175,333.48,526.184,
176,333.435,525.851,
177,333.392,525.519,
178,333.348,525.189,
179,333.305,524.861,
180,333.263,524.534,
181,333.22,524.209,
182,333.178,523.886,
183,333.137,523.564,
184,333.095,523.244,
185,333.054,522.926,
186,333.013,522.61,
187,332.973,522.295,
188,332.933,521.982,
189,332.893,521.67,
190,332.853,521.36,
191,332.814,521.051,
192,332.775,520.744,
193,332.736,520.439,
194,332.697,520.135,
195,332.659,519.832,
196,332.621,519.531,
197,332.583,519.232,
198,332.546,518.934,
199,332.508,518.638,
200,332.471,518.342,
201,332.435,518.049,
202,332.398,517.757,
203,332.362,517.466,
204,332.325,517.176,
205,332.289,516.888,
206,332.254,516.602,
207,332.218,516.316,
208,332.183,516.032,
209,332.148,515.75,
210,332.113,515.468,
211,332.078,515.188,
212,332.044,514.91,
213,332.009,514.632,
214,331.975,514.356,
215,331.941,514.081,
216,331.908,513.807,
217,331.874,513.535,
218,331.84,513.264,
219,331.807,512.994,
220,331.774,512.725,
221,331.741,512.458,
222,331.709,512.191,
223,331.676,511.926,
224,331.643,511.662,
225,331.611,511.399,
226,331.579,511.138,
227,331.547,510.877,
228,331.515,510.618,
229,331.484,510.36,
230,331.452,510.102,
231,331.421,509.846,
232,331.389,509.591,
233,331.358,509.337,
234,331.327,509.085,
235,331.296,508.833,
236,331.266,508.582,
237,331.235,508.333,
238,331.204,508.084,
239,331.174,507.837,
240,331.144,507.59,
241,331.114,507.345,
242,331.084,507.1,
243,331.054,506.857,
244,331.024,506.614,
245,330.994,506.373,
246,330.964,506.132,
247,330.935,505.892,
248,330.906,505.654,
249,330.876,505.416,
250,330.847,505.179,
251,330.818,504.944,
252,330.789,504.709,
253,330.76,504.475,
254,330.731,504.242,
255,330.703,504.01,
256,330.674,503.779,
257,330.645,503.548,
258,330.617,503.319,
259,330.588,503.09,
260,330.56,502.863,
261,330.532,502.636,
262,330.504,502.41,
263,330.476,502.185,
264,330.448,501.961,
265,330.42,501.737,
266,330.392,501.515,
267,330.364,501.293,
268,330.337,501.072,
269,330.309,500.852,
270,330.282,500.633,
271,330.254,500.414,
272,330.227,500.197,
273,330.199,499.98,
274,330.172,499.764,
275,330.145,499.548,
276,330.118,499.334,
277,330.091,499.12,
278,330.064,498.907,
279,330.037,498.695,
280,330.01,498.483,
281,329.983,498.273,
282,329.957,498.063,
283,329.93,497.853,
284,329.904,497.645,
285,329.877,497.437,
286,329.851,497.23,
287,329.824,497.023,
288,329.798,496.818,
289,329.772,496.613,
290,329.746,496.408,
291,329.72,496.205,
292,329.693,496.002,
293,329.668,495.8,
294,329.642,495.598,
295,329.616,495.397,
296,329.59,495.197,
297,329.564,494.997,
298,329.539,494.799,
299,329.513,494.6,
300,329.487,494.403,
301,329.462,494.206,
302,329.437,494.01,
303,329.411,493.814,
304,329.386,493.619,
305,329.361,493.424,
306,329.336,493.231,
307,329.311,493.037,
308,329.286,492.845,
309,329.261,492.653,
310,329.236,492.462,
311,329.211,492.271,
312,329.186,492.081,
313,329.162,491.891,
314,329.137,491.702,
315,329.113,491.514,
316,329.088,491.326,
317,329.064,491.139,
318,329.04,490.952,
319,329.015,490.766,
320,328.991,490.581,
321,328.967,490.396,
322,328.943,490.211,
323,328.919,490.027,
324,328.895,489.844,
325,328.872,489.661,
326,328.848,489.479,
327,328.824,489.297,
328,328.801,489.116,
329,328.777,488.936,
330,328.754,488.756,
331,328.731,488.576,
332,328.707,488.397,
333,328.684,488.219,
334,328.661,488.041,
335,328.638,487.863,
336,328.615,487.686,
337,328.592,487.51,
338,328.57,487.334,
339,328.547,487.158,
340,328.525,486.983,
341,328.502,486.809,
342,328.48,486.635,
343,328.457,486.461,
344,328.435,486.288,
345,328.413,486.116,
346,328.391,485.944,
347,328.369,485.772,
348,328.347,485.601,
349,328.325,485.43,
350,328.304,485.26,
351,328.282,485.09,
352,328.261,484.921,
353,328.239,484.752,
354,328.218,484.584,
355,328.197,484.416,
356,328.175,484.248,
357,328.154,484.081,
358,328.133,483.914,
359,328.113,483.748,
360,328.092,483.583,
361,328.071,483.417,
362,328.051,483.252,
363,328.03,483.088,
364,328.01,482.924,
365,327.99,482.76,
366,327.969,482.597,
367,327.949,482.434,
368,327.929,482.272,
369,327.909,482.11,
370,327.89,481.948,
371,327.87,481.787,
372,327.85,481.627,
373,327.831,481.466,
374,327.811,481.306,
375,327.792,481.147,
376,327.773,480.988,
377,327.754,480.829,
378,327.735,480.67,
379,327.716,480.512,
380,327.697,480.355,
381,327.679,480.198,
382,327.66,480.041,
383,327.641,479.884,
384,327.623,479.728,
385,327.605,479.573,
386,327.587,479.417,
387,327.569,479.262,
388,327.551,479.108,
389,327.533,478.953,
390,327.515,478.8,
391,327.497,478.646,
392,327.48,478.493,
393,327.462,478.34,
394,327.445,478.188,
395,327.428,478.036,
396,327.411,477.884,
397,327.394,477.732,
398,327.377,477.581,
399,327.36,477.431,
400,327.343,477.28,
401,327.326,477.13,
402,327.31,476.98,
403,327.294,476.831,
404,327.277,476.682,
405,327.261,476.533,
406,327.245,476.385,
407,327.229,476.237,
408,327.213,476.089,
409,327.197,475.942,
410,327.182,475.795,
411,327.166,475.648,
412,327.15,475.502,
413,327.135,475.355,
414,327.12,475.21,
415,327.105,475.064,
416,327.09,474.919,
417,327.075,474.774,
418,327.06,474.63,
419,327.045,474.485,
420,327.03,474.341,
421,327.016,474.198,
422,327.001,474.054,
423,326.987,473.911,
424,326.973,473.769,
425,326.958,473.626,
426,326.944,473.484,
427,326.93,473.342,
428,326.916,473.201,
429,326.903,473.059,
430,326.889,472.918,
431,326.875,472.778,
432,326.862,472.637,
433,326.849,472.497,
434,326.835,472.357,
435,326.822,472.218,
436,326.809,472.078,
437,326.796,471.939,
438,326.783,471.8,
439,326.77,471.662,
440,326.758,471.524,
441,326.745,471.386,
442,326.733,471.248,
443,326.72,471.111,
444,326.708,470.974,
445,326.696,470.837,
446,326.683,470.7,
447,326.671,470.564,
448,326.66,470.428,
449,326.648,470.292,
450,326.636,470.156,
451,326.624,470.021,
452,326.613,469.886,
453,326.601,469.751,
454,326.59,469.617,
455,326.578,469.483,
456,326.567,469.349,
457,326.556,469.215,
458,326.545,469.081,
459,326.534,468.948,
460,326.523,468.815,
461,326.512,468.682,
462,326.502,468.55,
463,326.491,468.417,
464,326.481,468.285,
465,326.47,468.153,
466,326.46,468.022,
467,326.45,467.89,
468,326.439,467.759,
469,326.429,467.628,
470,326.419,467.498,
471,326.409,467.367,
472,326.4,467.237,
473,326.39,467.107,
474,326.38,466.977,
475,326.371,466.848,
476,326.361,466.719,
477,326.352,466.59,
478,326.342,466.461,
479,326.333,466.332,
480,326.324,466.204,
481,326.315,466.076,
482,326.306,465.948,
483,326.297,465.82,
484,326.288,465.692,
485,326.279,465.565,
486,326.27,465.438,
487,326.261,465.311,
488,326.253,465.185,
489,326.244,465.058,
490,326.236,464.932,
491,326.227,464.806,
492,326.219,464.68,
493,326.211,464.555,
494,326.203,464.429,
495,326.195,464.304,
496,326.187,464.179,
497,326.179,464.054,
498,326.171,463.93,
499,326.163,463.805,
500,326.155,463.681,
501,326.148,463.557,
502,326.14,463.434,
503,326.133,463.31,
504,326.125,463.187,
505,326.118,463.063,
506,326.11,462.94,
507,326.103,462.818,
508,326.096,462.695,
509,326.089,462.573,
510,326.082,462.451,
511,326.075,462.329,
512,326.068,462.207,
513,326.061,462.085,
514,326.054,461.964,
515,326.047,461.842,
516,326.041,461.721,
517,326.034,461.601,
518,326.027,461.48,
519,326.021,461.359,
520,326.014,461.239,
521,326.008,461.119,
522,326.002,460.999,
523,325.995,460.879,
524,325.989,460.76,
525,325.983,460.64,
526,325.977,460.521,
527,325.971,460.402,
528,325.965,460.283,
529,325.959,460.164,
530,325.953,460.046,
531,325.947,459.927,
532,325.941,459.809,
533,325.935,459.691,
534,325.93,459.573,
535,325.924,459.456,
536,325.919,459.338,
537,325.913,459.221,
538,325.908,459.104,
539,325.902,458.987,
540,325.897,458.87,
541,325.891,458.754,
542,325.886,458.637,
543,325.881,458.521,
544,325.876,458.405,
545,325.871,458.289,
546,325.865,458.173,
547,325.86,458.057,
548,325.855,457.942,
549,325.851,457.826,
550,325.846,457.711,
551,325.841,457.596,
552,325.836,457.481,
553,325.831,457.367,
554,325.826,457.252,
555,325.822,457.138,
556,325.817,457.024,
557,325.813,456.91,
558,325.808,456.796,
559,325.804,456.682,
560,325.799,456.569,
561,325.795,456.455,
562,325.79,456.342,
563,325.786,456.229,
564,325.782,456.116,
565,325.777,456.003,
566,325.773,455.89,
567,325.769,455.778,
568,325.765,455.666,
569,325.761,455.553,
570,325.757,455.441,
571,325.753,455.329,
572,325.749,455.218,
573,325.745,455.106,
574,325.741,454.995,
575,325.737,454.883,
576,325.733,454.772,
577,325.729,454.661,
578,325.725,454.55,
579,325.722,454.44,
580,325.718,454.329,
581,325.715,454.219,
582,325.711,454.108,
583,325.707,453.998,
584,325.704,453.888,
585,325.7,453.778,
586,325.697,453.668,
587,325.693,453.559,
588,325.69,453.449,
589,325.687,453.34,
590,325.683,453.231,
591,325.68,453.122,
592,325.677,453.013,
593,325.673,452.904,
594,325.67,452.796,
595,325.667,452.687,
596,325.664,452.579,
597,325.661,452.471,
598,325.657,452.363,
599,325.654,452.255,
600,325.651,452.147,
601,325.648,452.039,
602,325.645,451.932,
603,325.642,451.824,
604,325.639,451.717,
605,325.636,451.61,
606,325.633,451.503,
607,325.631,451.396,
608,325.628,451.289,
609,325.625,451.182,
610,325.622,451.076,
611,325.619,450.97,
612,325.617,450.863,
613,325.614,450.757,
614,325.611,450.651,
615,325.609,450.545,
616,325.606,450.44,
617,325.603,450.334,
618,325.601,450.229,
619,325.598,450.123,
620,325.596,450.018,
621,325.593,449.913,
622,325.591,449.808,
623,325.588,449.703,
624,325.586,449.598,
625,325.583,449.494,
626,325.581,449.389,
627,325.578,449.285,
628,325.576,449.181,
629,325.574,449.077,
630,325.571,448.973,
631,325.569,448.869,
632,325.567,448.765,
633,325.565,448.661,
634,325.562,448.558,
635,325.56,448.455,
636,325.558,448.351,
637,325.556,448.248,
638,325.554,448.145,
639,325.551,448.042,
640,325.549,447.939,
641,325.547,447.837,
642,325.545,447.734,
643,325.543,447.632,
644,325.541,447.529,
645,325.539,447.427,
646,325.537,447.325,
647,325.535,447.223,
648,325.533,447.121,
649,325.531,447.019,
650,325.529,446.918,
651,325.527,446.816,
652,325.525,446.715,
653,325.523,446.614,
654,325.521,446.512,
655,325.52,446.411,
656,325.518,446.31,
657,325.516,446.21,
658,325.514,446.109,
659,325.512,446.008,
660,325.51,445.908,
661,325.509,445.807,
662,325.507,445.707,
663,325.505,445.607,
664,325.503,445.507,
665,325.502,445.407,
666,325.5,445.307,
667,325.498,445.207,
668,325.497,445.108,
669,325.495,445.008,
670,325.493,444.909,
671,325.492,444.809,
672,325.49,444.71,
673,325.489,444.611,
674,325.487,444.512,
675,325.485,444.413,
676,325.484,444.315,
677,325.482,444.216,
678,325.481,444.117,
679,325.479,444.019,
680,325.478,443.921,
681,325.476,443.822,
682,325.475,443.724,
683,325.473,443.626,
684,325.472,443.528,
685,325.47,443.43,
686,325.469,443.333,
687,325.467,443.235,
688,325.466,443.138,
689,325.465,443.04,
690,325.463,442.943,
691,325.462,442.846,
692,325.461,442.749,
693,325.459,442.652,
694,325.458,442.555,
695,325.456,442.458,
696,325.455,442.361,
697,325.454,442.265,
698,325.452,442.168,
699,325.451,442.072,
700,325.45,441.976,
701,325.449,441.879,
702,325.447,441.783,
703,325.446,441.687,
704,325.445,441.591,
705,325.444,441.496,
706,325.442,441.4,
707,325.441,441.304,
708,325.44,441.209,
709,325.439,441.114,
710,325.437,441.018,
711,325.436,440.923,
712,325.435,440.828,
713,325.434,440.733,
714,325.433,440.638,
715,325.432,440.543,
716,325.43,440.449,
717,325.429,440.354,
718,325.428,440.259,
719,325.427,440.165,
720,325.426,440.071,
721,325.425,439.977,
722,325.424,439.882,
723,325.423,439.788,
724,325.422,439.694,
725,325.42,439.601,
726,325.419,439.507,
727,325.418,439.413,
728,325.417,439.32,
729,325.416,439.226,
730,325.415,439.133,
731,325.414,439.04,
732,325.413,438.947,
733,325.412,438.853,
734,325.411,438.76,
735,325.41,438.668,
736,325.409,438.575,
737,325.408,438.482,
738,325.407,438.389,
739,325.406,438.297,
740,325.405,438.205,
741,325.404,438.112,
742,325.403,438.02,
743,325.402,437.928,
744,325.401,437.836,
745,325.4,437.744,
746,325.399,437.652,
747,325.398,437.56,
748,325.397,437.468,
749,325.396,437.377,
750,325.395,437.285,
751,325.395,437.194,
752,325.394,437.103,
753,325.393,437.011,
754,325.392,436.92,
755,325.391,436.829,
756,325.39,436.738,
757,325.389,436.647,
758,325.388,436.557,
759,325.387,436.466,
760,325.386,436.375,
761,325.386,436.285,
762,325.385,436.194,
763,325.384,436.104,
764,325.383,436.014,
765,325.382,435.924,
766,325.381,435.834,
767,325.38,435.744,
768,325.38,435.654,
769,325.379,435.564,
770,325.378,435.474,
771,325.377,435.385,
772,325.376,435.295,
773,325.375,435.206,
774,325.375,435.116,
775,325.374,435.027,
776,325.373,434.938,
777,325.372,434.849,
778,325.371,434.76,
779,325.37,434.671,
780,325.37,434.582,
781,325.369,434.493,
782,325.368,434.404,
783,325.367,434.316,
784,325.367,434.227,
785,325.366,434.139,
786,325.365,434.051,
787,325.364,433.962,
788,325.363,433.874,
789,325.363,433.786,
790,325.362,433.698,
791,325.361,433.61,
792,325.36,433.522,
793,325.36,433.435,
794,325.359,433.347,
795,325.358,433.259,
796,325.357,433.172,
797,325.357,433.085,
798,325.356,432.997,
799,325.355,432.91,
800,325.354,432.823,
801,325.354,432.736,
802,325.353,432.649,
803,325.352,432.562,
804,325.351,432.475,
805,325.351,432.388,
806,325.35,432.302,
807,325.349,432.215,
808,325.348,432.129,
809,325.348,432.042,
810,325.347,431.956,
811,325.346,431.87,
812,325.346,431.784,
813,325.345,431.698,
814,325.344,431.612,
815,325.344,431.526,
816,325.343,431.44,
817,325.342,431.354,
818,325.341,431.269,
819,325.341,431.183,
820,325.34,431.097,
821,325.339,431.012,
822,325.339,430.927,
823,325.338,430.841,
824,325.337,430.756,
825,325.337,430.671,
826,325.336,430.586,
827,325.335,430.501,
828,325.335,430.416,
829,325.334,430.332,
830,325.333,430.247,
831,325.332,430.162,
832,325.332,430.078,
833,325.331,429.993,
834,325.33,429.909,
835,325.33,429.825,
836,325.329,429.741,
837,325.328,429.657,
838,325.328,429.572,
839,325.327,429.489,
840,325.326,429.405,
841,325.326,429.321,
842,325.325,429.237,
843,325.324,429.153,
844,325.324,429.07,
845,325.323,428.986,
846,325.322,428.903,
847,325.322,428.82,
848,325.321,428.736,
849,325.321,428.653,
850,325.32,428.57,
851,325.319,428.487,
852,325.319,428.404,
853,325.318,428.321,
854,325.317,428.239,
855,325.317,428.156,
856,325.316,428.073,
857,325.315,427.991,
858,325.315,427.908,
859,325.314,427.826,
860,325.313,427.744,
861,325.313,427.661,
862,325.312,427.579,
863,325.311,427.497,
864,325.311,427.415,
865,325.31,427.333,
866,325.31,427.251,
867,325.309,427.17,
868,325.308,427.088,
869,325.308,427.006,
870,325.307,426.925,
871,325.306,426.843,
872,325.306,426.762,
873,325.305,426.681,
874,325.304,426.599,
875,325.304,426.518,
876,325.303,426.437,
877,325.303,426.356,
878,325.302,426.275,
879,325.301,426.194,
880,325.301,426.114,
881,325.3,426.033,
882,325.299,425.952,
883,325.299,425.872,
884,325.298,425.791,
885,325.298,425.711,
886,325.297,425.63,
887,325.296,425.55,
888,325.296,425.47,
889,325.295,425.39,
890,325.294,425.31,
891,325.294,425.23,
892,325.293,425.15,
893,325.293,425.07,
894,325.292,424.991,
895,325.291,424.911,
896,325.291,424.831,
897,325.29,424.752,
898,325.289,424.673,
899,325.289,424.593,
900,325.288,424.514,
901,325.288,424.435,
902,325.287,424.356,
903,325.286,424.277,
904,325.286,424.198,
905,325.285,424.119,
906,325.284,424.04,
907,325.284,423.961,
908,325.283,423.882,
909,325.283,423.804,
910,325.282,423.725,
911,325.281,423.647,
912,325.281,423.569,
913,325.28,423.49,
914,325.279,423.412,
915,325.279,423.334,
916,325.278,423.256,
917,325.278,423.178,
918,325.277,423.1,
919,325.276,423.022,
920,325.276,422.944,
921,325.275,422.866,
922,325.274,422.789,
923,325.274,422.711,
924,325.273,422.634,
925,325.273,422.556,
926,325.272,422.479,
927,325.271,422.402,
928,325.271,422.324,
929,325.27,422.247,
930,325.269,422.17,
931,325.269,422.093,
932,325.268,422.016,
933,325.268,421.94,
934,325.267,421.863,
935,325.266,421.786,
936,325.266,421.709,
937,325.265,421.633,
938,325.265,421.556,
939,325.264,421.48,
940,325.263,421.404,
941,325.263,421.327,
942,325.262,421.251,
943,325.261,421.175,
944,325.261,421.099,
945,325.26,421.023,
946,325.259,420.947,
947,325.259,420.871,
948,325.258,420.796,
949,325.258,420.72,
950,325.257,420.644,
951,325.256,420.569,
952,325.256,420.493,
953,325.255,420.418,
954,325.254,420.342,
955,325.254,420.267,
956,325.253,420.192,
957,325.253,420.117,
958,325.252,420.042,
959,325.251,419.967,
960,325.251,419.892,
961,325.25,419.817,
962,325.249,419.742,
963,325.249,419.668,
964,325.248,419.593,
965,325.247,419.519,
966,325.247,419.444,
967,325.246,419.37,
968,325.246,419.295,
969,325.245,419.221,
970,325.244,419.147,
971,325.244,419.073,
972,325.243,418.999,
973,325.242,418.925,
974,325.242,418.851,
975,325.241,418.777,
976,325.24,418.703,
977,325.24,418.629,
978,325.239,418.556,
979,325.238,418.482,
980,325.238,418.409,
981,325.237,418.335,
982,325.236,418.262,
983,325.236,418.189,
984,325.235,418.115,
985,325.234,418.042,
986,325.234,417.969,
987,325.233,417.896,
988,325.232,417.823,
989,325.232,417.75,
990,325.231,417.678,
991,325.23,417.605,
992,325.23,417.532,
993,325.229,417.46,
994,325.228,417.387,
995,325.228,417.315,
996,325.227,417.242,
997,325.226,417.17,
998,325.226,417.098,
999,325.225,417.025,
1000,325.224,416.953,
1001,325.223,416.881,
1002,325.223,416.809,
1003,325.222,416.737,
1004,325.221,416.666,
1005,325.22,416.594,
1006,325.22,416.522,
1007,325.219,416.45,
1008,325.218,416.379,
1009,325.217,416.307,
1010,325.217,416.236,
1011,325.216,416.165,
1012,325.215,416.093,
1013,325.214,416.022,
1014,325.213,415.951,
1015,325.212,415.88,
1016,325.211,415.809,
1017,325.21,415.738,
1018,325.209,415.667,
1019,325.208,415.596,
1020,325.207,415.526,
1021,325.206,415.455,
1022,325.205,415.384,
1023,325.203,415.314,
1024,325.202,415.243,
1025,325.2,415.173,
